2021-09-19 05:51:00+00;23;18411AMK-03;10;10.28;4.92;145.7;3.08;6.69;0.17;743.41;79.97;6.98;12.5498;9.60838;0.000121066;338.45
2021-09-19 08:48:00+00;23;18411AMK-03;10;8.36;5.05;140.1;2.84;7.84;0.05;742.47;100;8.36;11.0301;8.50251;0.000121831;337.36
2021-09-19 11:54:00+00;23;18411AMK-03;10;8.59;2.61;184.8;0.62;4.8;-0.24;741.38;100;8.59;11.2031;8.6288;0.000121541;337.51
2021-09-19 15:01:00+00;23;18411AMK-03;10;3.97;0.62;140.6;0.22;1.41;-0.02;743.59;100;3.97;8.14979;6.38173;0.000124131;334.56
2021-09-19 18:07:00+00;23;18411AMK-03;10;3.14;1;165.1;0.72;1.39;0.13;743.68;100;3.14;7.68723;6.0376;0.000124549;334.03
2021-09-19 21:14:00+00;23;18411AMK-03;10;2.69;1.11;177;0.78;1.76;-0.11;744.13;100;2.69;7.4463;5.85791;0.000124843;333.74
2021-09-20 00:20:00+00;23;18411AMK-03;10;2.81;1.43;170.2;0.76;2.12;-0;745.01;100;2.81;7.50991;5.90539;0.000124933;333.82
2021-09-20 03:27:00+00;23;18411AMK-03;10;4.1;1.44;197.1;0.89;2.1;-0.19;745.83;96.08;3.53;8.22451;6.43722;0.000124444;334.62
2021-09-20 06:33:00+00;23;18411AMK-03;10;5.45;2.16;187.1;0.78;3.75;-0.08;746.44;92.02;4.26;9.03612;7.03818;0.000123891;335.45
2021-09-20 09:40:00+00;23;18411AMK-03;10;5.67;1.25;142;0.73;1.77;0.15;747.12;95.66;5.03;9.1749;7.14064;0.000123898;335.61
2021-09-20 12:46:00+00;23;18411AMK-03;10;4.71;1.08;209.4;0.4;1.87;-0.19;748.1;100;4.71;8.58295;6.70302;0.000124527;335.03
2021-09-20 15:53:00+00;23;18411AMK-03;10;1.96;0.37;220.8;0.28;0.52;-0.14;748.69;100;1.96;7.06977;5.57646;0.000125968;333.28
2021-09-20 18:59:00+00;23;18411AMK-03;10;1.16;0.5;191.4;0.25;0.78;-0.07;749.1;100;1.16;6.67645;5.28158;0.00012643;332.78
2021-09-20 22:06:00+00;23;18411AMK-03;10;2.24;0.92;222.5;0.3;1.54;-0.04;749.39;100;2.24;7.21222;5.68304;0.000125949;333.46
2021-09-21 01:12:00+00;23;18411AMK-03;10;4.18;1.33;255.6;0.61;1.87;0.02;749.46;100;4.18;8.27087;6.47163;0.000125013;334.69
2021-09-21 04:19:00+00;23;18411AMK-03;10;5.38;1.93;297.6;1.31;2.35;0.19;750.36;100;5.38;8.99251;7.00597;0.000124579;335.45
2021-09-21 07:25:00+00;23;18411AMK-03;10;3.44;5.66;300.8;1.87;8.8;0.18;750.95;80.48;0.4;7.85191;6.16025;0.000125624;334.12
2021-09-21 10:32:00+00;23;18411AMK-03;10;4.98;2.75;264.3;0.29;5.21;0.06;751.6;67.39;-0.55;8.74607;6.82378;0.000124981;335.02
2021-09-21 13:38:00+00;23;18411AMK-03;10;2.74;0.45;185.7;0.22;1.04;-0.19;752.51;97.36;2.37;7.473;5.87785;0.00012623;333.76
2021-09-21 16:45:00+00;23;18411AMK-03;10;2.37;1.8;232.4;0.86;2.73;-0.5;752.46;100;2.37;7.27931;5.73319;0.000126403;333.54
2021-09-21 19:52:00+00;23;18411AMK-03;10;2.49;0.58;320.3;0.29;0.9;-0.02;752.45;100;2.49;7.34163;5.77977;0.000126343;333.61
2021-09-21 22:58:00+00;23;18411AMK-03;10;2.69;0.94;178.5;0.62;1.3;0.22;752.5;100;2.69;7.44656;5.85812;0.000126253;333.74
2021-09-22 02:05:00+00;23;18411AMK-03;10;2.14;0.18;256.2;0.06;0.45;0.41;753.22;100;2.14;7.16118;5.64487;0.000126645;333.39
2021-09-22 05:11:00+00;23;18411AMK-03;10;4.01;1.1;137.9;0.58;1.6;0.26;754.1;80.99;1.05;8.17306;6.39903;0.000125874;334.48
2021-09-22 08:18:00+00;23;18411AMK-03;10;5.91;1.06;153.6;0.45;1.79;-0.02;754.25;64.41;-0.29;9.32871;7.2541;0.000124969;335.58
2021-09-22 11:24:00+00;23;18411AMK-03;10;5.76;0.69;155;0.35;1.1;-0.16;754.8;81.12;2.77;9.23251;7.18316;0.000125134;335.58
2021-09-22 14:31:00+00;23;18411AMK-03;10;0.33;0.26;100.8;0.24;0.29;-0.09;756.01;100;0.33;6.28917;4.99031;0.000128013;332.24
2021-09-22 17:37:00+00;23;18411AMK-03;10;-1.52;0.36;106.8;0.31;0.39;-0.1;756.55;100;-1.52;5.4964;4.39097;0.000129028;331.08
2021-09-22 20:44:00+00;23;18411AMK-03;10;-1.95;0.31;108.2;0.15;0.4;-0.06;756.75;100;-1.95;5.32536;4.26107;0.000129278;330.81
2021-09-22 23:50:00+00;23;18411AMK-03;10;-0.63;0.45;44.6;0.41;0.57;-0.1;757.39;100;-0.63;5.866;4.67093;0.000128726;331.64
2021-09-23 02:57:00+00;23;18411AMK-03;10;1.44;1.57;312.1;1.19;2.03;0.06;758.37;100;1.44;6.81212;5.38341;0.000127861;332.95
2021-09-23 06:03:00+00;23;18411AMK-03;10;3.52;1.93;306.1;1.18;2.99;0.09;758.26;74.46;-0.59;7.89653;6.19347;0.000126813;334.14
2021-09-23 09:46:00+00;23;18411AMK-03;10;4.47;0.9;289.8;0.63;1.24;-0.12;758.78;76.93;0.78;8.44073;6.59764;0.000126431;334.75
2021-09-23 12:16:00+00;23;18411AMK-03;10;3.29;2.12;313.3;1.48;3.23;0.09;758.99;80.64;0.29;7.76957;6.09896;0.000127049;334.03
2021-09-23 15:23:00+00;23;18411AMK-03;10;2.02;0.47;164.1;0.28;0.68;-0.07;759.32;92.68;0.96;7.1004;5.5994;0.000127734;333.28
2021-09-23 18:29:00+00;23;18411AMK-03;10;0.7;0.6;140.5;0.23;0.98;-0.09;759.03;100;0.7;6.45945;5.1185;0.000128341;332.48
2021-09-23 21:36:00+00;23;18411AMK-03;10;0.78;1.52;169.7;0.77;2.69;-0.03;758.44;100;0.78;6.49676;5.14656;0.000128201;332.53
2021-09-24 00:43:00+00;23;18411AMK-03;10;0.76;1.45;193;0.66;2.4;-0.34;758.42;100;0.76;6.48741;5.13953;0.000128208;332.52
2021-09-24 03:49:00+00;23;18411AMK-03;10;3.12;2.28;216.4;0.89;4.23;-0.33;758.27;88.48;1.41;7.67685;6.02989;0.000127012;333.96
2021-09-24 06:56:00+00;23;18411AMK-03;10;5.18;2.64;257.4;0.86;4.09;-0.43;757.26;79.9;2;8.86877;6.91454;0.000125828;335.21
2021-09-24 10:02:00+00;23;18411AMK-03;10;5.35;0.77;223.6;0.35;1.43;-0.07;757.27;99.45;5.27;8.97407;6.99237;0.000125746;335.42
2021-09-24 13:09:00+00;23;18411AMK-03;10;5.18;0.82;207.8;0.25;1.54;0.17;757.01;100;5.18;8.86876;6.91453;0.000125786;335.32
2021-09-24 16:15:00+00;23;18411AMK-03;10;5.09;1.11;209.1;0.39;1.68;0.07;756.32;100;5.09;8.81343;6.87361;0.000125715;335.26
2021-09-24 19:22:00+00;23;18411AMK-03;10;3.86;0.7;252.9;0.49;1.01;-0.38;755.8;100;3.86;8.08753;6.33549;0.000126232;334.48
2021-09-24 22:28:00+00;23;18411AMK-03;10;3.57;0.67;235.6;0.17;1.74;-0.3;756.24;100;3.57;7.92431;6.21413;0.000126449;334.3
2021-09-25 01:35:00+00;23;18411AMK-03;10;3.77;1.31;321.1;1.04;1.8;0.03;756.29;100;3.77;8.03657;6.29762;0.000126359;334.42
2021-09-25 04:41:00+00;23;18411AMK-03;10;3.03;1.65;310;1.14;2.2;-0.2;756.8;100;3.03;7.62813;5.99357;0.000126809;333.95
2021-09-25 07:48:00+00;23;18411AMK-03;10;2.49;2.3;126.4;1.61;3.2;0.39;756.41;86.93;0.54;7.34176;5.77986;0.00012701;333.55
2021-09-25 10:54:00+00;23;18411AMK-03;10;3.03;1.25;265.5;0.82;1.94;-0.18;756.85;95.96;2.45;7.62813;5.99357;0.000126817;333.93
2021-09-25 14:01:00+00;23;18411AMK-03;10;0.45;0.28;84;0.22;0.31;-0.06;757.41;100;0.45;6.34396;5.03158;0.000128191;332.32
2021-09-25 17:07:00+00;23;18411AMK-03;10;0.41;1.73;306.8;1.24;2.46;0.24;756.9;100;0.41;6.32565;5.01779;0.000128124;332.3
2021-09-25 20:14:00+00;23;18411AMK-03;10;0.58;1.17;337.7;0.85;1.64;0.02;756.45;100;0.58;6.40374;5.07657;0.000127963;332.4
2021-09-25 23:20:00+00;23;18411AMK-03;10;1.03;1.96;326.4;1.32;2.49;0.33;756.44;100;1.03;6.61461;5.23514;0.000127738;332.69
2021-09-26 02:27:00+00;23;18411AMK-03;10;1.28;2.7;317.2;1.93;3.82;0.15;756.42;100;1.28;6.73439;5.32509;0.000127611;332.85
2021-09-26 05:33:00+00;23;18411AMK-03;10;4.35;2.79;309.2;1.14;4.61;0.31;756.31;100;4.35;8.37012;6.54528;0.000126077;334.79
2021-09-26 08:40:00+00;23;18411AMK-03;10;5.96;4.12;161.2;1.86;6.91;0.75;756.82;88.5;4.21;9.36108;7.27797;0.000125372;335.75
2021-09-26 11:47:00+00;23;18411AMK-03;10;5.02;3.6;281.3;2.23;4.69;0.28;759;100;5.02;8.77072;6.84203;0.000126197;335.22
2021-09-26 14:53:00+00;23;18411AMK-03;10;4.64;2.26;215.6;1.52;3.41;0.29;760.26;100;4.64;8.54158;6.67239;0.000126595;334.97
2021-09-26 18:00:00+00;23;18411AMK-03;10;2.63;1.7;221.7;1.12;2.63;0.21;760.77;100;2.63;7.41521;5.83472;0.000127675;333.7
2021-09-26 21:06:00+00;23;18411AMK-03;10;2.28;0.57;329;0.43;0.67;-0.01;761.49;100;2.28;7.23315;5.6987;0.000127971;333.47
